Date,High,Low,Open,Close,Avg,Volume
2018-06-04,105.0,102.4,102.4,102.4,102.49,2811840.0
2018-06-05,106.0,96.0,99.1,96.0,100.19,1689500.0
2018-06-06,96.0,91.0,95.0,92.0,92.98,1901680.0
2018-06-07,98.4,93.1,94.5,98.4,97.0,1476540.0
2018-06-08,105.2,99.5,101.0,105.2,103.83,2008500.0
2018-06-11,109.0,103.2,104.8,109.0,106.71,1229830.0
2018-06-12,108.0,102.9,108.0,105.0,104.93,1183630.0
2018-06-13,108.0,104.5,105.0,105.4,105.39,888330.0
2018-06-14,106.5,103.5,106.5,105.0,105.03,792130.0
2018-06-15,105.5,103.5,105.5,105.2,104.84,2558933.0
2018-06-18,105.0,98.0,104.1,100.0,101.89,2042807.0
2018-06-19,97.0,93.0,95.1,95.0,93.62,4201720.0
2018-06-20,96.5,93.1,95.0,95.2,95.04,576870.0
2018-06-21,95.4,93.3,95.4,95.2,94.29,497790.0
2018-06-22,95.1,93.6,95.1,95.0,94.33,328710.0
2018-06-25,97.0,95.7,96.0,95.9,96.07,1099340.0
2018-06-26,95.5,94.2,94.4,95.0,94.87,493790.0
2018-06-27,95.0,93.5,93.5,93.6,94.01,394860.0
2018-06-28,93.5,88.5,93.0,92.2,91.69,1408230.0
2018-06-29,92.0,87.0,91.0,91.7,90.69,1755000.0
2018-07-02,91.8,87.0,91.8,87.9,88.67,669570.0
2018-07-03,88.3,81.8,87.5,81.8,82.59,3076612.0
2018-07-04,81.0,76.1,80.5,81.0,78.04,2095767.0
2018-07-05,28.85,27.0,28.85,28.15,28.6,1583450.0
2018-07-06,29.0,27.0,28.0,28.8,28.25,1160990.0
2018-07-09,29.2,27.85,29.0,28.5,28.56,693900.0
2018-07-10,28.5,27.5,28.5,27.65,28.01,549100.0
2018-07-11,27.1,25.75,27.1,25.75,26.12,1614570.0
2018-07-12,26.0,25.1,25.1,26.0,25.77,854080.0
2018-07-13,26.5,26.0,26.4,26.2,26.2,428900.0
2018-07-16,26.2,25.75,26.0,26.2,26.03,430160.0
2018-07-17,27.5,25.7,26.2,27.1,26.71,1174520.0
2018-07-18,28.5,27.3,27.5,27.95,28.06,1139340.0
2018-07-19,28.0,27.5,28.0,27.9,27.81,708430.0
2018-07-20,27.9,27.2,27.5,27.9,27.54,1518190.0
2018-07-23,27.85,26.6,27.3,26.6,27.28,920690.0
2018-07-24,27.5,26.3,27.0,26.4,26.78,1019120.0
2018-07-25,26.85,24.9,26.8,26.75,26.13,4238010.0
2018-07-26,26.25,25.5,26.0,25.8,25.85,777430.0
2018-07-27,26.2,25.6,25.8,25.95,25.91,3207660.0
2018-07-30,26.2,25.9,25.95,26.1,26.05,1549238.0
2018-07-31,27.9,26.0,26.15,27.8,27.27,4690660.0
2018-08-01,28.65,27.15,27.9,27.55,28.11,2114620.0
2018-08-02,28.5,27.0,27.3,28.5,27.75,6682490.0
2018-08-03,28.9,28.0,28.6,28.35,28.44,12058140.0
2018-08-06,28.3,27.8,28.0,28.0,28.11,1499320.0
2018-08-07,28.2,27.4,27.75,27.95,27.88,1720400.0
2018-08-08,28.15,27.4,28.15,27.75,27.64,1406450.0
2018-08-09,28.3,27.4,27.9,27.4,27.8,2382410.0
2018-08-10,27.7,26.4,27.4,27.2,26.9,2793581.0
2018-08-13,27.65,26.8,27.0,27.45,27.28,1492300.0
2018-08-14,27.5,27.0,27.5,27.2,27.32,1410590.0
2018-08-15,27.2,26.5,27.0,26.5,26.93,1134510.0
2018-08-16,26.9,25.95,26.5,26.5,26.28,2176340.0
2018-08-17,26.9,26.5,26.5,26.5,26.65,2681890.0
2018-08-20,26.7,25.9,26.7,26.5,26.37,925307.0
2018-08-21,26.65,26.25,26.5,26.5,26.45,904270.0
2018-08-22,27.4,26.55,26.7,26.65,26.96,1386850.0
2018-08-23,27.15,26.65,27.0,26.75,26.89,1165060.0
2018-08-24,26.95,26.5,26.75,26.6,26.68,847010.0
2018-08-27,26.85,26.5,26.6,26.5,26.63,1518390.0
2018-08-28,26.8,26.2,26.6,26.25,26.36,1700740.0
2018-08-29,26.35,26.1,26.25,26.15,26.18,778240.0
2018-08-30,26.3,26.05,26.15,26.3,26.17,1052840.0
2018-08-31,26.85,26.3,26.3,26.3,26.5,1780530.0
2018-09-04,26.6,26.05,26.3,26.1,26.28,2326610.0
2018-09-05,26.25,25.75,26.1,25.8,25.96,9499462.0
2018-09-06,25.9,24.8,25.8,24.8,25.16,2933180.0
2018-09-07,25.3,24.9,25.0,25.25,25.09,3157300.0
2018-09-10,25.5,25.0,25.4,25.5,25.28,1797720.0
2018-09-11,25.5,25.3,25.45,25.4,25.39,1680150.0
2018-09-12,25.55,25.0,25.5,25.0,25.28,1495990.0
2018-09-13,25.4,25.0,25.0,25.2,25.14,2545220.0
2018-09-14,25.4,25.15,25.2,25.25,25.27,1443360.0
2018-09-17,27.0,25.15,25.25,26.05,25.84,2714630.0
2018-09-18,26.15,25.55,26.05,26.15,26.02,1059520.0
2018-09-19,27.05,26.2,26.2,26.6,26.68,2967740.0
2018-09-20,28.0,26.6,26.6,28.0,27.65,5806380.0
2018-09-21,28.45,27.8,28.0,28.3,28.13,4039160.0
2018-09-24,28.45,27.95,28.3,28.1,28.19,2213810.0
2018-09-25,28.2,27.8,28.0,28.0,28.05,2261840.0
2018-09-26,29.35,27.8,28.0,28.9,28.76,4516320.0
2018-09-27,29.65,29.15,29.2,29.4,29.44,4193300.0
2018-09-28,29.65,29.0,29.5,29.15,29.28,4443650.0
2018-10-01,29.25,28.6,29.15,28.65,28.92,3316100.0
2018-10-02,29.4,28.6,28.6,29.1,29.09,3639750.0
2018-10-03,29.5,29.15,29.4,29.35,29.33,1405830.0
2018-10-04,30.2,29.35,29.5,30.2,29.88,4223880.0
2018-10-05,30.25,29.75,30.1,29.8,29.97,3156560.0
2018-10-08,29.75,29.1,29.1,29.35,29.41,2449230.0
2018-10-09,29.75,29.15,29.4,29.75,29.55,2656380.0
2018-10-10,30.1,29.65,29.8,29.7,29.87,1689250.0
2018-10-11,29.1,27.7,28.2,27.85,28.14,5361270.0
2018-10-12,28.8,27.3,27.85,28.7,28.17,2554290.0
2018-10-15,28.75,28.0,28.7,28.2,28.44,2085500.0
2018-10-16,28.9,28.15,28.15,28.7,28.45,1420050.0
2018-10-17,29.3,28.95,29.3,29.1,29.16,2385680.0
2018-10-18,29.1,28.7,28.8,28.9,28.89,1487880.0
2018-10-19,29.0,28.1,28.4,29.0,28.71,1454000.0
2018-10-22,29.2,28.8,29.0,28.8,28.92,2026290.0
2018-10-23,28.8,26.8,28.8,27.8,27.86,2307530.0
2018-10-24,28.0,26.5,27.9,26.5,27.24,1805430.0
2018-10-25,26.3,25.1,25.2,26.1,25.69,2481080.0
2018-10-26,26.9,25.5,26.9,25.85,26.0,1747390.0
2018-10-29,26.0,25.5,25.8,25.7,25.77,8140406.0
2018-10-30,26.1,25.6,25.7,25.8,25.9,1327540.0
2018-10-31,26.9,26.1,26.1,26.9,26.55,1363970.0
2018-11-01,26.95,26.1,26.95,26.1,26.45,802870.0
2018-11-02,26.95,26.2,26.6,26.6,26.67,5938790.0
2018-11-05,26.95,26.5,26.7,26.85,26.74,920120.0
2018-11-06,27.4,26.75,27.4,26.95,26.96,1174180.0
2018-11-07,27.2,26.7,26.7,27.0,26.99,1180500.0
2018-11-08,27.5,26.95,27.5,27.0,27.15,710570.0
2018-11-09,26.95,26.35,26.85,26.35,26.58,1110990.0
